,仁武,前金,前鎮,善化,大寮,安南,小港,屏東,左營,復興,恆春,新營,林園,楠梓,橋頭,潮州,美濃,臺南,鳳山
2022-11-20-13,47,48,45,34,44,33,47,41,46,49,1,22,42,38,-999,35,25,41,43
2022-11-20-14,46,46,43,32,46,33,47,37,41,45,1,23,43,36,-999,37,25,40,43
2022-11-20-15,44,43,39,31,46,31,45,36,37,40,1,24,42,35,-999,40,25,38,42
2022-11-20-16,44,41,37,31,45,29,43,36,35,37,1,24,39,35,-999,41,26,36,44
2022-11-20-17,41,38,35,28,43,28,39,37,32,34,1,22,36,33,33,42,28,33,43
2022-11-20-18,38,35,35,27,38,26,37,37,30,34,1,21,33,31,30,43,29,30,41
2022-11-20-19,35,34,33,24,36,25,35,38,28,33,1,18,31,29,27,41,30,28,39
2022-11-20-20,32,32,33,22,34,24,33,35,25,31,1,17,28,26,25,41,31,26,36
2022-11-20-21,29,30,31,20,33,22,32,33,22,27,1,16,26,24,21,41,32,26,33
2022-11-20-22,27,28,29,18,32,21,30,31,21,26,0,15,25,23,23,40,32,25,32
2022-11-20-23,27,25,27,17,30,19,27,29,20,24,0,14,23,22,23,40,31,23,31
2022-11-21-00,27,23,25,16,30,17,26,28,21,23,0,14,21,23,23,39,29,22,30
2022-11-21-01,26,23,24,15,30,16,27,29,21,22,0,14,20,22,23,38,28,20,30
2022-11-21-02,26,24,25,14,29,14,26,29,23,22,1,14,19,21,23,36,28,18,30
2022-11-21-03,26,25,26,13,29,13,27,29,24,23,1,15,20,22,22,33,26,17,30
2022-11-21-04,25,25,26,13,29,13,27,29,23,23,1,15,21,21,22,31,26,16,30
2022-11-21-05,25,24,26,15,27,13,25,27,22,22,1,15,21,21,22,31,26,15,29
2022-11-21-06,24,24,24,16,26,14,25,27,22,22,0,16,22,21,22,31,26,16,28
2022-11-21-07,24,22,22,16,25,14,24,25,22,20,0,16,20,20,22,30,26,16,26
2022-11-21-08,23,23,21,16,22,14,23,25,21,19,1,17,20,19,22,30,25,16,24
2022-11-21-09,22,23,21,16,20,15,23,25,22,19,1,18,19,18,22,28,24,16,24
2022-11-21-10,23,23,22,15,19,14,24,24,22,19,1,18,18,18,23,27,24,16,24
2022-11-21-11,24,22,23,16,21,14,25,23,22,20,1,19,18,19,23,26,24,17,24
2022-11-21-12,23,21,22,17,22,14,25,21,23,20,1,19,17,18,22,25,22,18,26
2022-11-21-13,21,21,22,17,23,15,23,20,19,19,2,19,16,17,21,25,22,17,25
2022-11-21-14,20,21,21,19,23,17,24,21,15,18,2,22,15,16,20,26,21,16,24
2022-11-21-15,18,21,21,20,25,19,23,21,15,17,2,23,15,15,19,26,18,15,24
2022-11-21-16,18,22,22,20,24,20,23,23,15,18,2,24,15,16,20,26,19,17,24
2022-11-21-17,19,22,21,21,25,21,23,23,17,18,2,24,15,17,20,24,19,19,25
2022-11-21-18,21,22,22,22,26,22,23,23,19,20,3,24,16,17,21,22,20,22,26
2022-11-21-19,23,23,23,22,25,22,24,25,21,22,2,23,17,18,23,23,23,23,28
2022-11-21-20,24,24,23,22,26,23,25,24,22,22,2,23,16,20,24,24,26,23,29
2022-11-21-21,27,24,25,24,28,24,25,25,22,22,1,23,18,21,25,24,27,25,31
2022-11-21-22,28,24,25,23,29,26,25,27,22,21,1,23,20,22,28,25,26,26,32
2022-11-21-23,30,25,25,24,32,27,25,28,23,22,1,24,19,24,30,27,26,27,33
2022-11-22-00,31,27,26,23,33,27,27,28,25,24,1,25,22,25,31,27,23,28,33
2022-11-22-01,31,29,27,23,34,26,28,28,28,27,1,25,22,25,34,29,23,29,34
2022-11-22-02,30,32,28,23,33,25,29,28,29,28,2,24,23,26,34,31,24,30,34
2022-11-22-03,30,33,28,23,31,24,29,28,30,29,2,23,24,27,34,31,23,30,34
2022-11-22-04,31,34,29,23,31,23,28,28,31,28,2,23,23,28,35,32,24,30,32
2022-11-22-05,33,34,29,23,29,23,30,29,31,28,2,23,23,28,34,33,24,29,31
2022-11-22-06,33,33,31,24,29,22,29,29,30,28,1,22,24,29,34,34,25,27,31
2022-11-22-07,35,32,31,24,30,22,30,31,29,29,1,23,26,30,35,33,25,26,32
2022-11-22-08,36,31,33,26,33,24,32,32,30,30,1,25,28,32,35,30,25,28,35
2022-11-22-09,38,33,34,28,35,27,33,33,32,32,2,28,29,32,36,30,25,32,38
2022-11-22-10,38,34,34,30,36,31,35,34,36,33,2,29,29,33,36,30,25,35,37
2022-11-22-11,36,37,38,31,36,31,37,35,39,36,2,30,30,33,38,30,25,37,36
2022-11-22-12,38,37,37,31,37,31,40,33,38,34,3,29,33,33,38,33,24,34,37
2022-11-22-13,35,35,36,29,38,28,40,32,35,32,2,27,33,33,38,38,22,30,37
2022-11-22-14,34,34,32,27,37,24,39,32,31,29,1,26,32,31,36,43,22,26,37
2022-11-22-15,32,32,28,26,37,25,37,32,27,27,1,28,29,27,30,45,22,24,36
2022-11-22-16,29,27,25,27,33,26,32,30,24,23,1,30,25,24,27,45,24,25,31
2022-11-22-17,26,24,22,28,30,28,30,30,23,20,1,32,23,22,26,42,25,26,29
2022-11-22-18,25,24,21,29,29,30,28,28,23,19,2,34,22,23,27,40,25,28,28
2022-11-22-19,29,25,22,31,27,32,27,26,23,21,2,35,21,25,29,40,25,32,28
2022-11-22-20,30,26,25,35,28,34,28,28,25,23,2,39,21,28,33,42,24,35,31
2022-11-22-21,34,29,28,38,30,37,30,33,27,26,2,43,22,30,36,42,23,37,34
2022-11-22-22,37,32,31,42,33,41,31,37,30,29,2,46,22,33,40,41,22,41,37
2022-11-22-23,40,36,33,46,37,45,33,39,33,31,1,48,20,37,43,41,21,45,41
2022-11-23-00,43,39,36,48,39,49,34,39,36,36,1,48,17,39,46,41,21,49,44
2022-11-23-01,47,43,38,51,41,52,36,39,41,38,2,47,21,43,50,39,21,52,45
2022-11-23-02,50,46,42,51,42,53,40,37,44,42,1,47,25,46,54,37,21,56,47
2022-11-23-03,51,48,44,51,42,54,42,35,47,45,1,46,29,46,56,35,21,57,47
2022-11-23-04,51,50,44,51,43,52,42,35,50,45,1,44,32,46,58,32,20,56,46
2022-11-23-05,52,53,46,50,42,50,42,34,52,48,1,44,32,47,59,30,20,55,47
2022-11-23-06,55,56,47,49,42,48,41,33,55,50,1,43,32,48,58,28,20,54,49
2022-11-23-07,56,57,48,46,41,47,42,34,55,50,1,43,32,51,58,27,20,54,51
2022-11-23-08,58,59,50,46,41,47,45,34,56,52,1,42,32,53,58,26,21,55,54
2022-11-23-09,59,60,50,46,42,48,47,33,56,53,1,39,33,53,56,25,21,55,57
2022-11-23-10,59,61,51,47,42,48,49,32,57,52,1,38,33,54,57,24,22,56,57
2022-11-23-11,57,59,50,47,41,47,48,31,57,52,1,35,33,53,57,24,21,56,54
2022-11-23-12,56,60,48,44,39,45,45,31,58,49,2,32,35,52,57,22,20,52,50
2022-11-23-13,54,60,49,39,35,41,43,30,58,50,1,28,36,49,56,19,20,48,47
2022-11-23-14,51,60,49,35,31,36,43,29,56,50,1,26,38,46,52,17,19,43,47
2022-11-23-15,48,59,49,31,28,34,45,27,54,49,1,23,41,41,48,15,20,38,46
2022-11-23-16,45,55,48,27,28,29,46,25,48,49,1,22,40,37,42,16,21,34,46
2022-11-23-17,41,47,42,26,30,26,45,24,40,44,1,19,38,34,38,21,21,31,44
2022-11-23-18,37,41,38,22,32,24,42,25,34,38,0,18,34,32,35,24,21,28,40
2022-11-23-19,35,35,34,21,34,25,38,28,29,33,1,17,29,29,34,23,22,26,37
2022-11-23-20,32,32,29,21,29,26,33,29,26,30,1,17,24,28,31,21,22,27,35
2022-11-23-21,31,31,28,21,25,26,29,28,24,26,1,17,18,26,29,19,22,27,32
2022-11-23-22,28,28,25,22,21,26,25,27,24,23,1,16,16,24,28,18,22,27,30
2022-11-23-23,28,29,25,21,18,22,25,27,24,23,1,15,16,24,28,19,21,26,29
2022-11-24-00,28,29,27,20,20,19,25,28,24,23,1,13,17,23,28,18,20,23,30
2022-11-24-01,27,28,27,21,23,17,26,29,24,25,1,12,19,23,26,19,19,21,31
2022-11-24-02,28,28,27,19,25,15,27,29,24,26,1,11,21,23,25,17,18,19,31
2022-11-24-03,27,26,27,17,27,15,27,28,22,26,1,10,22,21,24,17,18,19,31
2022-11-24-04,27,24,25,16,27,15,27,26,21,24,1,10,23,20,22,15,18,19,31
2022-11-24-05,26,24,25,14,26,15,26,26,21,23,0,10,24,18,22,12,19,20,30
2022-11-24-06,25,25,25,13,26,15,26,26,20,23,1,11,24,18,22,11,18,20,30
2022-11-24-07,24,25,25,13,27,15,27,27,20,22,1,12,25,19,21,10,17,21,30
2022-11-24-08,24,25,26,13,28,16,29,29,21,25,1,12,26,19,22,11,17,22,29
2022-11-24-09,26,27,27,14,28,18,30,31,23,26,2,14,25,19,23,13,18,23,31
2022-11-24-10,28,29,28,16,28,19,30,34,25,26,2,16,25,20,24,16,21,25,33
2022-11-24-11,30,30,28,18,29,21,29,36,28,26,2,17,23,22,28,19,27,28,33
2022-11-24-12,31,31,29,21,28,23,29,39,32,25,2,18,22,26,32,24,32,31,33
2022-11-24-13,32,32,28,22,27,25,29,42,35,23,2,19,22,28,36,27,37,32,32
2022-11-24-14,32,32,28,24,30,25,28,46,37,23,2,19,23,31,38,31,38,31,31
2022-11-24-15,32,31,28,24,29,25,29,49,34,22,2,18,32,32,39,32,37,30,34
2022-11-24-16,30,31,25,23,30,24,27,51,31,21,1,17,31,30,35,32,35,29,35
2022-11-24-17,27,28,25,22,32,23,27,49,28,20,1,16,29,27,29,32,35,27,37
2022-11-24-18,24,27,23,21,29,24,27,46,25,19,1,16,27,22,27,29,34,27,35
2022-11-24-19,24,27,22,20,27,25,26,40,24,17,2,16,22,22,27,29,34,28,31
2022-11-24-20,23,24,21,21,24,25,24,35,23,15,1,17,20,21,27,27,33,27,28
2022-11-24-21,24,24,19,21,22,25,22,33,22,14,1,17,18,23,30,28,31,28,24
2022-11-24-22,26,23,20,21,21,23,22,33,22,15,1,16,18,25,31,29,30,27,25
2022-11-24-23,27,24,21,19,20,20,22,32,23,17,1,15,18,26,32,29,27,25,28
2022-11-25-00,30,27,23,18,22,18,25,31,24,19,1,15,17,26,31,28,25,24,31
2022-11-25-01,29,28,26,17,25,16,27,30,25,22,1,14,19,26,30,27,24,23,34
2022-11-25-02,29,29,28,16,27,15,28,29,25,24,1,15,19,24,28,23,23,22,35
2022-11-25-03,29,30,29,16,29,16,29,29,26,25,1,15,21,24,28,22,24,23,34
2022-11-25-04,27,29,28,17,30,17,27,29,27,26,1,15,20,22,28,21,23,23,34
2022-11-25-05,27,29,29,17,29,19,28,30,26,27,1,15,20,22,27,21,22,24,33
2022-11-25-06,28,29,29,18,30,20,29,30,26,27,1,15,19,23,26,20,21,25,34
2022-11-25-07,29,30,30,18,30,20,29,31,26,26,1,15,19,23,26,19,20,26,34
2022-11-25-08,31,33,31,18,33,21,30,32,27,26,1,16,20,26,27,22,19,28,36
2022-11-25-09,31,35,31,20,34,23,31,31,30,27,1,18,20,28,29,22,19,31,36
2022-11-25-10,32,37,32,22,36,26,30,32,33,29,1,19,19,30,32,21,20,34,37
2022-11-25-11,35,38,33,26,38,29,30,34,37,31,1,21,18,34,36,22,22,38,38
2022-11-25-12,38,40,35,28,36,32,31,34,40,34,0,22,18,37,41,18,25,41,37
2022-11-25-13,43,42,37,29,38,31,34,34,44,38,0,23,24,41,45,18,25,40,39
2022-11-25-14,45,47,37,30,40,29,40,37,43,41,0,23,30,44,46,19,26,37,41
2022-11-25-15,44,47,42,27,42,26,45,37,39,44,0,21,34,42,44,19,27,33,42
2022-11-25-16,39,42,36,24,45,23,43,38,37,40,0,19,34,38,39,21,28,28,41
2022-11-25-17,33,36,31,21,41,21,38,39,29,34,0,18,31,32,33,26,27,24,37
2022-11-25-18,29,29,28,18,36,19,32,36,24,28,4,18,28,26,28,27,25,22,31
2022-11-25-19,26,24,22,18,32,19,26,33,22,22,8,17,24,23,26,29,23,22,28
2022-11-25-20,26,24,21,19,27,19,24,30,22,22,11,17,23,22,26,29,21,22,27
2022-11-25-21,26,24,22,18,26,19,24,27,23,23,16,16,23,21,27,26,21,21,28
2022-11-25-22,27,24,24,18,26,19,27,26,24,24,19,18,23,21,28,25,21,20,30
2022-11-25-23,27,25,25,17,26,18,28,25,24,25,20,18,24,21,26,25,21,19,30
2022-11-26-00,25,24,25,17,27,16,28,25,22,24,22,16,25,19,24,25,21,17,29
2022-11-26-01,24,23,25,15,26,15,26,26,19,22,23,14,23,18,22,25,21,17,26
2022-11-26-02,23,22,25,15,25,13,24,25,18,20,24,13,22,17,22,25,21,17,26
2022-11-26-03,23,22,25,16,25,15,23,25,20,20,24,14,21,18,24,26,20,18,26
2022-11-26-04,25,24,26,17,26,18,24,26,22,21,25,17,22,20,26,26,19,21,29
2022-11-26-05,27,25,27,19,28,20,25,26,24,23,25,20,23,21,27,25,19,23,31
2022-11-26-06,27,26,28,21,29,22,25,27,25,23,23,20,21,22,27,26,20,25,31
2022-11-26-07,27,25,27,20,29,19,25,26,24,23,20,20,22,23,27,26,18,23,31
2022-11-26-08,26,25,26,18,27,17,24,25,23,22,19,17,20,21,26,26,16,20,30
2022-11-26-09,23,21,24,16,22,15,21,22,20,19,16,14,16,20,23,24,14,18,26
2022-11-26-10,20,19,21,13,18,13,17,18,15,17,13,11,13,17,19,21,11,15,22
2022-11-26-11,16,16,18,11,15,13,14,16,12,13,11,10,11,15,16,16,9,14,17
2022-11-26-12,14,15,16,9,13,12,13,14,9,11,8,9,9,13,13,14,8,13,14
2022-11-26-13,13,13,15,8,14,11,12,13,8,11,7,10,9,10,12,12,7,13,13
2022-11-26-14,12,13,13,7,13,10,12,12,7,10,5,10,8,10,12,12,7,12,13
2022-11-26-15,12,12,13,8,12,10,12,11,8,9,5,9,7,9,11,12,8,12,13
2022-11-26-16,11,12,13,8,10,9,11,9,8,9,5,9,6,8,11,11,8,12,12
2022-11-26-17,11,12,12,8,9,9,11,9,8,9,4,9,6,8,13,10,8,11,13
2022-11-26-18,12,11,13,10,9,10,11,9,10,9,3,9,7,8,13,9,10,12,13
2022-11-26-19,12,12,12,11,9,11,12,9,10,10,3,9,7,9,14,9,11,13,14
2022-11-26-20,13,13,13,13,9,13,12,11,11,11,2,12,6,11,15,8,14,15,15
2022-11-26-21,16,15,15,15,9,15,13,13,13,12,2,13,6,13,16,8,15,17,16
2022-11-26-22,17,17,15,16,12,15,13,16,14,12,1,16,5,14,18,9,16,18,19
2022-11-26-23,19,18,16,16,14,16,11,18,15,13,1,19,8,14,19,9,17,19,22
2022-11-27-00,21,18,18,18,16,17,15,21,16,14,1,20,11,15,20,9,16,20,24
2022-11-27-01,22,20,19,19,18,18,16,21,17,15,1,22,13,15,21,9,16,21,25
2022-11-27-02,23,21,21,19,19,20,18,21,19,16,2,23,17,15,22,9,15,23,26
2022-11-27-03,23,21,20,20,20,23,21,21,19,15,1,23,17,16,22,9,14,25,25
2022-11-27-04,23,20,18,20,21,26,20,19,19,14,1,24,18,17,23,9,13,27,25
2022-11-27-05,22,20,17,21,22,28,20,18,19,13,1,25,17,17,23,8,13,31,24
2022-11-27-06,22,20,16,22,21,30,19,17,20,13,0,26,16,17,24,8,13,33,22
2022-11-27-07,21,20,17,22,21,31,18,17,20,14,0,27,17,17,23,8,13,33,21
2022-11-27-08,19,20,18,25,21,32,18,17,19,14,1,26,16,16,23,8,12,34,21
2022-11-27-09,19,19,18,24,21,31,18,18,20,13,1,27,16,17,24,9,11,31,21
2022-11-27-10,17,19,20,24,21,28,20,18,19,16,1,27,16,16,24,10,11,28,22
2022-11-27-11,17,19,22,23,22,28,21,19,19,17,1,25,14,17,24,10,10,27,21
2022-11-27-12,18,-999,23,20,22,25,22,18,19,18,1,23,15,19,25,11,9,25,22
2022-11-27-13,18,-999,24,19,24,23,23,16,17,19,1,19,16,18,24,12,8,24,23
2022-11-27-14,18,-999,23,18,26,22,21,15,17,18,0,17,17,18,22,11,9,24,22
2022-11-27-15,16,-999,21,16,27,19,21,14,15,17,0,16,16,16,21,13,10,22,22
2022-11-27-16,14,-999,20,16,28,17,20,15,14,15,0,16,16,14,18,16,11,20,22
2022-11-27-17,14,13,19,15,26,16,19,15,14,14,0,15,16,13,16,18,12,19,21
2022-11-27-18,13,12,19,16,25,16,18,16,12,14,0,13,15,12,17,22,13,18,22
2022-11-27-19,14,13,19,16,25,15,17,17,11,13,0,13,15,12,17,23,15,17,21
2022-11-27-20,14,12,18,15,24,16,18,17,12,14,0,14,14,13,17,26,15,17,20
2022-11-27-21,16,12,18,15,23,17,17,18,12,14,0,14,14,14,18,26,16,17,20
2022-11-27-22,17,14,18,14,23,17,17,17,13,15,0,16,15,15,17,27,16,18,20
2022-11-27-23,17,15,18,15,22,17,18,17,14,15,0,17,15,15,17,27,15,19,21
2022-11-28-00,17,16,18,16,22,18,18,17,13,15,0,18,15,14,16,26,16,18,21
2022-11-28-01,15,16,19,17,22,18,18,17,12,14,0,20,16,13,16,25,15,19,21
2022-11-28-02,15,15,19,17,21,20,18,17,11,13,0,21,17,13,16,25,15,20,20
2022-11-28-03,16,15,18,17,21,21,18,17,12,13,0,21,18,13,16,24,16,20,19
2022-11-28-04,17,16,19,17,19,20,18,17,13,14,0,21,18,13,16,23,16,20,19
2022-11-28-05,19,16,20,15,20,20,19,18,15,15,0,20,17,14,16,24,16,19,20
2022-11-28-06,20,18,21,14,20,20,20,17,16,16,0,20,18,16,16,23,16,20,21
2022-11-28-07,22,19,22,14,19,20,20,17,17,18,0,20,18,16,16,23,15,21,22
2022-11-28-08,23,19,23,14,19,21,20,17,17,19,0,20,17,16,16,23,14,22,23
2022-11-28-09,24,20,26,15,19,23,19,16,18,22,0,20,17,16,16,21,14,23,24
2022-11-28-10,25,21,28,15,19,24,19,16,17,23,0,19,15,17,17,19,13,22,23
2022-11-28-11,23,22,28,13,18,24,19,15,17,23,1,16,13,17,16,15,13,21,21
2022-11-28-12,21,23,31,12,16,21,20,14,18,24,1,14,14,16,16,12,12,20,20
2022-11-28-13,21,21,27,9,13,20,20,12,16,21,1,11,13,15,16,10,10,19,18
2022-11-28-14,18,18,24,7,10,18,19,10,15,18,1,10,11,13,15,9,9,19,17
2022-11-28-15,17,17,21,9,8,16,13,9,15,15,1,11,9,12,15,8,7,17,17
2022-11-28-16,15,14,17,9,7,16,12,8,12,11,1,11,7,11,13,8,6,15,15
2022-11-28-17,13,13,16,10,7,14,10,8,10,10,1,10,5,8,11,8,5,14,15
2022-11-28-18,12,12,16,9,7,12,9,7,9,9,1,9,4,7,10,5,5,11,15
2022-11-28-19,12,11,15,6,8,11,8,6,8,9,1,6,3,7,9,4,4,10,14
2022-11-28-20,12,10,14,7,7,10,7,5,8,8,1,5,3,7,9,3,4,8,13
2022-11-28-21,12,10,12,6,7,8,7,5,7,6,1,5,3,7,9,3,4,8,11
2022-11-28-22,12,8,11,6,6,8,6,4,7,5,1,4,2,6,10,2,3,8,11
2022-11-28-23,11,8,10,7,4,8,5,4,6,4,1,5,2,6,10,2,3,8,10
2022-11-29-00,10,7,8,7,4,9,6,4,4,3,1,8,2,5,10,2,2,9,9
2022-11-29-01,9,7,9,8,4,9,9,5,3,3,1,12,2,5,10,3,3,10,8
2022-11-29-02,8,6,9,9,6,9,10,6,4,3,1,13,3,5,10,3,3,11,8
2022-11-29-03,8,6,9,9,8,9,11,7,5,4,1,17,4,4,10,3,4,11,8
2022-11-29-04,9,6,10,9,9,10,13,7,6,5,1,21,4,4,10,2,4,12,9
2022-11-29-05,9,7,10,9,11,11,11,6,7,5,1,21,4,4,9,2,4,13,10
2022-11-29-06,8,8,10,9,11,13,11,6,7,5,1,22,4,4,8,2,4,14,10
2022-11-29-07,9,8,9,8,12,16,11,7,8,5,1,20,3,4,7,2,4,16,11
2022-11-29-08,9,8,9,9,13,20,11,9,8,6,1,18,3,4,9,3,4,17,10
2022-11-29-09,9,8,9,8,15,22,12,10,10,6,1,18,4,5,11,3,4,18,10
2022-11-29-10,10,9,9,9,17,21,12,11,11,6,1,17,5,6,11,4,5,18,10
2022-11-29-11,10,12,12,9,16,20,15,10,12,8,1,16,6,7,12,5,5,18,10
2022-11-29-12,10,12,14,9,16,17,15,9,13,9,1,14,6,7,13,5,5,18,11
2022-11-29-13,12,12,14,9,15,16,14,8,13,9,1,13,6,9,13,5,5,18,13
2022-11-29-14,14,11,14,9,13,16,13,8,12,10,1,14,4,9,12,4,4,18,13
2022-11-29-15,14,10,12,9,12,15,11,10,11,8,1,14,4,9,12,4,4,16,14
2022-11-29-16,13,9,11,10,11,14,9,10,9,6,1,13,3,9,10,4,6,15,14
2022-11-29-17,11,9,10,11,8,14,9,11,8,6,2,13,3,8,9,5,7,13,12
2022-11-29-18,10,9,9,10,9,12,8,10,7,5,2,12,2,7,8,5,8,12,12
2022-11-29-19,9,9,9,11,9,11,8,9,6,5,2,13,3,6,8,5,10,11,11
2022-11-29-20,9,9,10,12,9,11,7,8,6,5,1,12,3,6,8,5,8,10,10
2022-11-29-21,10,9,9,13,8,14,7,7,6,5,1,12,3,6,9,5,8,11,10
2022-11-29-22,11,9,9,14,8,17,7,7,7,6,1,13,2,6,10,5,8,14,10
2022-11-29-23,12,8,8,14,9,19,7,7,8,7,0,12,3,6,12,5,8,16,12
2022-11-30-00,13,10,9,14,10,21,8,9,9,8,0,13,4,7,14,5,8,18,14
2022-11-30-01,13,12,10,16,11,21,9,11,10,10,0,12,5,8,14,5,8,18,15
2022-11-30-02,15,13,12,17,12,21,11,12,11,11,0,14,6,9,16,5,8,19,17
2022-11-30-03,15,15,14,18,12,22,13,13,12,11,0,16,7,10,16,4,7,19,17
2022-11-30-04,16,17,15,19,13,23,14,12,14,11,0,18,7,11,17,4,6,21,18
2022-11-30-05,17,17,15,20,13,23,15,12,14,11,0,18,8,12,18,4,7,22,19
2022-11-30-06,17,18,15,20,12,23,15,11,15,12,0,19,8,13,19,4,7,22,19
2022-11-30-07,17,18,16,20,12,23,15,10,16,12,0,18,8,13,22,6,8,23,19
2022-11-30-08,17,19,17,19,13,24,15,11,16,13,0,15,8,14,23,7,9,25,19
2022-11-30-09,17,21,19,18,15,23,15,11,17,14,0,15,9,15,24,8,10,25,19
2022-11-30-10,20,24,22,18,16,21,17,12,20,16,1,12,10,16,25,8,10,24,20
2022-11-30-11,22,26,25,17,18,21,21,13,22,19,2,11,12,19,26,8,9,24,23
2022-11-30-12,24,26,27,17,18,20,25,15,23,21,3,11,14,20,25,8,9,21,25
2022-11-30-13,25,25,28,15,21,18,28,17,23,23,4,12,15,20,25,8,10,21,27
2022-11-30-14,24,25,28,15,23,18,29,18,21,22,4,13,16,20,24,9,11,21,26
2022-11-30-15,23,23,27,15,26,18,28,20,19,22,4,14,17,19,22,13,14,21,25
2022-11-30-16,22,22,27,15,30,19,27,20,19,21,5,14,17,18,22,15,14,22,24
2022-11-30-17,21,23,27,16,28,18,25,20,18,21,5,15,18,17,23,18,15,21,23
2022-11-30-18,21,24,27,15,28,18,25,21,20,22,5,13,19,17,23,20,16,21,23
2022-11-30-19,21,23,26,14,27,18,25,23,21,23,4,12,22,17,22,21,15,21,24
2022-11-30-20,21,24,26,13,27,16,26,24,21,24,4,11,23,18,22,23,15,21,25
2022-11-30-21,20,23,26,11,28,16,27,24,21,24,4,9,23,18,21,25,15,20,26
2022-11-30-22,19,21,25,10,28,15,26,23,20,24,4,9,20,17,20,24,15,19,26
2022-11-30-23,18,20,24,9,26,14,25,21,18,22,4,8,19,15,18,25,16,17,24
2022-12-01-00,16,19,22,7,24,13,23,18,16,20,3,7,18,14,16,24,16,16,23
2022-12-01-01,15,19,21,6,20,11,23,17,14,18,3,6,17,13,14,22,15,15,22
2022-12-01-02,14,17,19,5,18,10,21,16,13,17,3,5,16,12,13,22,14,13,20
2022-12-01-03,13,15,17,4,16,8,20,16,12,16,2,4,15,11,12,21,14,12,19
2022-12-01-04,11,13,16,4,14,7,19,16,12,15,2,3,14,10,12,21,13,11,17
2022-12-01-05,10,12,15,4,13,7,17,15,11,14,2,2,13,9,11,20,12,11,15
2022-12-01-06,9,12,14,4,12,7,16,15,10,13,2,2,11,8,10,19,10,11,14
2022-12-01-07,8,11,13,4,11,7,15,12,10,12,2,2,9,6,9,17,10,11,13
2022-12-01-08,7,11,12,3,10,6,14,11,9,10,2,2,8,5,8,16,9,11,13
2022-12-01-09,7,11,13,4,11,6,14,12,9,10,2,2,8,5,9,16,9,11,12
2022-12-01-10,8,11,13,4,15,5,15,15,10,11,2,2,10,5,10,16,10,12,12
2022-12-01-11,10,12,16,5,16,5,17,18,11,13,2,3,13,6,11,19,11,11,14
2022-12-01-12,14,14,18,6,19,6,20,20,14,15,2,4,17,9,13,22,12,12,16
2022-12-01-13,16,16,19,7,25,7,22,21,16,18,2,6,20,11,15,25,13,13,19
2022-12-01-14,18,17,20,8,26,9,23,22,16,18,1,8,20,13,18,27,13,14,21
2022-12-01-15,18,17,20,9,27,11,24,22,15,17,1,9,18,15,19,28,13,15,23
2022-12-01-16,18,16,20,10,26,12,23,23,14,16,1,11,17,16,20,27,14,16,22
2022-12-01-17,19,14,20,11,25,12,22,24,13,16,2,12,14,16,20,26,13,16,22
2022-12-01-18,19,14,21,11,24,12,22,24,13,16,2,11,13,17,20,24,15,16,21
2022-12-01-19,20,13,20,11,22,10,22,24,14,16,2,10,13,17,19,23,15,15,21
2022-12-01-20,19,14,20,11,23,10,23,24,13,17,2,10,13,15,18,22,15,15,22
2022-12-01-21,18,15,19,11,22,10,24,22,14,17,2,9,14,14,18,23,16,15,22
2022-12-01-22,18,16,19,10,21,10,23,21,14,17,2,9,14,13,18,23,16,14,22
2022-12-01-23,17,16,19,10,20,10,22,20,14,17,3,8,15,14,17,22,15,14,22
2022-12-02-00,17,16,19,9,20,9,21,18,15,17,3,7,14,14,16,24,15,13,21
2022-12-02-01,16,15,19,8,20,9,20,17,14,16,3,7,13,13,14,22,15,13,21
2022-12-02-02,15,14,18,8,19,9,20,17,14,16,3,6,13,12,13,21,14,13,19
2022-12-02-03,14,15,17,7,18,8,18,17,13,15,3,6,13,10,12,20,14,12,18
2022-12-02-04,13,14,16,7,18,8,18,16,13,14,3,5,13,9,12,19,13,11,17
2022-12-02-05,12,14,16,6,17,8,17,16,13,14,2,5,13,8,12,19,12,10,16
2022-12-02-06,12,14,15,6,16,8,16,16,13,14,2,4,13,8,12,19,12,10,16
2022-12-02-07,11,14,14,6,17,7,17,15,13,14,2,4,13,8,11,19,11,11,16
2022-12-02-08,11,13,15,6,15,7,17,15,12,15,2,5,13,8,11,19,11,12,16
2022-12-02-09,11,13,16,6,16,6,18,15,12,16,2,5,13,9,11,18,11,12,17
2022-12-02-10,12,14,17,6,18,7,19,16,12,17,2,5,16,9,12,19,12,13,18
2022-12-02-11,13,15,19,6,20,8,21,18,13,18,2,6,18,9,13,21,13,14,19
2022-12-02-12,16,17,21,6,22,10,23,22,15,20,2,6,22,11,16,22,14,15,20
2022-12-02-13,18,19,24,7,24,12,25,24,17,22,2,6,25,12,19,25,14,15,23
2022-12-02-14,20,21,27,8,26,12,28,26,17,24,2,8,25,15,21,27,14,15,25
2022-12-02-15,22,21,26,9,27,13,29,26,17,24,2,10,26,17,22,29,15,15,27
2022-12-02-16,21,19,26,11,27,13,29,24,15,23,2,11,23,16,21,31,15,16,28
2022-12-02-17,21,17,23,11,26,13,28,22,14,21,2,12,22,16,21,33,15,17,26
2022-12-02-18,20,16,22,12,25,14,25,20,15,20,3,11,21,15,21,34,16,18,25
2022-12-02-19,21,16,24,12,26,13,25,23,16,21,3,11,20,16,21,34,16,19,24
2022-12-02-20,22,18,25,12,27,12,25,26,18,22,3,10,20,17,22,34,16,19,25
