,仁武,前金,前鎮,善化,大寮,安南,小港,屏東,左營,復興,恆春,新營,林園,楠梓,橋頭,潮州,美濃,臺南,鳳山
2022-10-03-17,23,22,22,19,30,18,-999,25,20,22,8,25,19,19,20,24,21,18,20
2022-10-03-18,22,20,20,18,28,17,22,22,20,20,9,24,18,18,19,21,21,18,20
2022-10-03-19,20,20,19,18,27,17,20,19,18,19,9,23,16,17,19,19,20,17,20
2022-10-03-20,20,18,18,18,26,17,19,19,16,19,9,23,15,16,18,19,19,17,19
2022-10-03-21,19,18,16,18,24,18,17,18,15,17,9,22,14,16,18,18,18,16,19
2022-10-03-22,17,18,15,19,24,18,17,18,15,17,9,22,14,16,19,18,19,15,18
2022-10-03-23,17,17,15,18,22,17,17,18,14,17,10,22,14,16,21,17,19,14,17
2022-10-04-00,17,18,15,19,21,16,17,18,14,16,10,20,14,15,21,17,20,14,17
2022-10-04-01,16,18,14,18,21,15,16,18,13,15,10,20,14,14,21,16,20,13,16
2022-10-04-02,17,19,15,17,22,14,15,19,13,15,9,20,15,15,21,16,20,14,17
2022-10-04-03,17,19,14,17,22,14,17,21,14,15,9,18,15,15,21,15,19,13,17
2022-10-04-04,17,18,14,17,25,14,18,21,15,15,9,19,17,15,20,15,19,14,17
2022-10-04-05,18,19,15,18,25,14,18,22,16,16,9,18,18,16,21,16,19,13,18
2022-10-04-06,18,19,16,20,25,15,19,21,17,16,9,17,19,17,22,18,18,12,19
2022-10-04-07,19,19,16,20,25,15,19,21,16,16,8,18,21,18,22,19,19,12,18
2022-10-04-08,19,20,16,19,24,14,19,22,16,16,7,18,22,19,22,19,18,12,19
2022-10-04-09,18,20,17,17,23,14,19,21,16,17,7,17,23,18,21,19,17,12,19
2022-10-04-10,18,19,17,16,21,13,20,21,15,18,7,18,21,17,19,19,17,13,18
2022-10-04-11,17,18,17,15,21,12,20,20,15,19,6,16,20,16,18,18,15,12,18
2022-10-04-12,17,17,16,14,20,12,21,18,14,20,6,15,18,16,16,17,15,13,18
2022-10-04-13,16,16,15,14,19,11,20,19,14,20,5,15,17,15,16,17,16,13,17
2022-10-04-14,15,15,14,14,19,12,19,18,14,18,5,16,16,14,15,18,15,12,17
2022-10-04-15,15,15,13,14,18,11,17,18,13,16,4,16,15,13,14,18,15,13,17
2022-10-04-16,14,16,13,14,17,12,17,17,13,15,4,16,14,13,13,18,15,12,16
2022-10-04-17,14,15,12,15,17,13,18,17,13,15,4,16,14,13,13,18,14,13,15
2022-10-04-18,14,16,12,14,16,14,17,16,12,15,5,15,14,13,15,16,15,14,15
2022-10-04-19,14,15,11,15,17,15,16,16,13,17,5,16,14,13,15,17,15,13,16
2022-10-04-20,13,14,12,15,16,16,16,16,13,16,5,16,14,14,16,17,14,14,15
2022-10-04-21,13,14,11,16,16,17,15,16,13,16,5,17,14,14,15,17,15,15,16
2022-10-04-22,12,14,10,17,16,17,14,16,13,16,5,18,14,14,15,18,14,15,15
2022-10-04-23,12,14,9,17,17,17,15,17,12,15,5,18,13,13,16,19,16,15,16
2022-10-05-00,13,15,10,19,17,18,15,17,12,15,6,19,13,13,16,19,17,16,16
2022-10-05-01,13,15,10,20,18,18,16,17,11,15,6,20,11,13,17,20,16,17,15
2022-10-05-02,14,15,12,21,19,19,17,17,11,14,6,22,11,12,17,19,17,19,17
2022-10-05-03,15,16,14,21,18,19,17,16,11,16,7,22,11,12,18,19,17,20,16
2022-10-05-04,15,16,15,20,18,20,18,16,12,17,7,22,12,14,18,19,16,19,17
2022-10-05-05,16,17,15,20,19,21,18,17,12,17,8,22,13,16,18,18,17,19,18
2022-10-05-06,19,17,16,21,21,23,19,17,12,18,8,21,14,18,19,18,17,19,18
2022-10-05-07,23,18,16,21,23,24,20,17,14,18,7,22,15,19,20,18,17,21,19
2022-10-05-08,27,19,17,21,25,23,21,18,14,19,7,22,14,19,21,18,18,22,20
2022-10-05-09,29,20,18,21,24,24,23,18,16,19,7,23,14,19,22,18,19,23,20
2022-10-05-10,27,20,19,22,23,25,24,19,16,21,7,23,14,21,22,17,20,25,20
2022-10-05-11,25,22,20,22,23,25,23,19,17,21,8,23,14,21,21,17,19,26,20
2022-10-05-12,23,22,21,23,22,24,22,20,16,22,7,23,15,20,20,17,17,25,19
2022-10-05-13,22,22,21,22,22,24,22,20,15,22,7,23,15,18,19,16,16,25,20
2022-10-05-14,20,21,20,22,21,22,20,20,15,20,7,23,15,17,19,17,16,22,18
2022-10-05-15,19,20,19,23,18,23,20,19,14,18,6,24,13,16,18,16,16,21,18
2022-10-05-16,20,19,18,23,18,22,20,18,15,18,6,23,14,16,19,16,18,21,18
2022-10-05-17,21,19,17,24,18,21,20,18,16,18,6,22,14,18,20,17,22,22,19
2022-10-05-18,22,20,18,24,19,22,20,18,18,18,6,21,15,19,21,18,24,22,20
2022-10-05-19,22,22,20,22,20,20,20,20,19,20,6,19,16,19,22,19,25,22,21
2022-10-05-20,21,22,20,20,21,18,21,23,19,20,6,18,17,19,21,21,25,21,21
2022-10-05-21,21,22,19,17,23,17,20,23,18,19,5,17,18,18,20,21,24,19,21
2022-10-05-22,21,22,19,17,24,16,21,24,17,19,5,16,18,17,20,21,24,18,21
2022-10-05-23,21,20,18,17,24,16,21,24,15,19,4,17,17,16,18,21,24,18,22
2022-10-06-00,23,19,18,19,25,19,20,23,14,18,4,17,17,18,19,20,23,19,23
2022-10-06-01,24,19,17,21,25,21,18,23,14,18,4,19,17,19,20,18,23,20,22
2022-10-06-02,25,18,17,23,25,24,18,21,15,17,4,21,17,21,22,18,23,22,23
2022-10-06-03,26,18,16,23,24,25,18,21,15,17,4,21,18,23,24,17,23,23,23
2022-10-06-04,26,17,16,23,25,25,19,21,17,17,4,22,18,22,25,16,23,24,22
2022-10-06-05,27,17,17,22,25,25,19,21,17,19,3,21,18,23,24,16,22,23,23
2022-10-06-06,26,18,18,22,27,25,20,22,17,19,3,22,17,22,24,15,21,22,24
2022-10-06-07,26,19,20,22,27,26,21,23,17,20,3,23,16,23,23,14,21,22,25
2022-10-06-08,26,21,21,23,27,26,21,22,17,21,3,24,17,23,23,14,20,22,26
2022-10-06-09,24,23,22,23,25,25,23,22,18,22,3,24,17,22,22,15,20,22,26
2022-10-06-10,24,22,21,22,24,24,22,22,19,22,4,23,17,23,22,15,20,23,26
2022-10-06-11,25,22,20,21,24,24,21,23,20,21,4,21,17,23,23,16,19,22,24
2022-10-06-12,25,21,20,20,25,23,21,24,19,20,4,20,16,23,24,17,19,22,24
2022-10-06-13,26,19,19,20,24,23,20,24,18,19,4,21,14,23,24,17,19,22,22
2022-10-06-14,25,21,20,22,23,25,21,25,18,20,4,23,13,23,24,16,18,23,22
2022-10-06-15,23,21,21,23,22,24,21,25,18,21,4,26,12,22,22,15,17,23,22
2022-10-06-16,22,21,21,24,20,23,21,23,19,20,4,27,12,21,22,13,18,23,21
2022-10-06-17,22,23,22,23,19,23,21,22,20,20,5,26,12,21,21,13,18,21,23
2022-10-06-18,23,23,22,21,19,20,22,21,20,22,5,25,14,20,21,12,17,20,23
2022-10-06-19,22,23,22,20,20,20,23,22,19,21,5,25,15,19,20,13,18,19,22
2022-10-06-20,21,22,22,20,21,20,23,24,18,22,5,24,16,18,19,13,17,20,22
2022-10-06-21,20,19,20,20,21,20,23,25,17,21,4,23,16,17,18,13,18,21,21
2022-10-06-22,19,19,18,22,23,21,22,26,17,19,4,21,17,17,18,13,18,21,21
2022-10-06-23,21,19,18,22,25,21,22,26,17,20,5,19,17,18,19,13,18,22,21
2022-10-07-00,22,18,19,21,26,19,22,26,18,20,5,17,18,19,21,13,18,21,21
2022-10-07-01,23,18,21,21,27,18,23,27,18,21,5,17,18,20,22,13,17,20,22
2022-10-07-02,23,18,23,20,27,17,24,25,17,21,5,16,17,20,22,13,17,20,23
2022-10-07-03,22,18,23,19,26,19,25,24,18,22,4,17,17,21,21,12,16,20,22
