,三義,二林,南投,埔里,大里,忠明,沙鹿,竹山,線西,苗栗,西屯,豐原
2022-02-18-12,4,10,12,19,13,9,7,16,9,6,8,8
2022-02-18-13,4,10,13,18,14,9,7,17,9,6,9,9
2022-02-18-14,5,12,14,17,14,8,7,19,10,7,10,9
2022-02-18-15,6,13,16,15,14,9,7,22,11,8,11,9
2022-02-18-16,7,14,17,14,14,9,7,25,10,9,12,10
2022-02-18-17,8,14,18,14,14,9,7,26,10,8,11,10
2022-02-18-18,8,14,18,13,14,9,7,25,9,7,9,11
2022-02-18-19,7,13,17,14,14,8,7,24,9,7,9,11
2022-02-18-20,6,12,16,15,12,8,6,23,9,6,8,11
2022-02-18-21,5,13,15,16,11,8,7,22,11,6,8,10
2022-02-18-22,5,13,14,16,11,7,7,20,13,7,8,9
2022-02-18-23,6,15,14,15,11,6,7,20,14,7,8,8
2022-02-19-00,6,18,13,15,10,5,6,19,15,7,8,7
2022-02-19-01,5,18,13,14,10,4,5,19,14,7,8,8
2022-02-19-02,4,17,13,13,10,4,4,18,12,6,7,8
2022-02-19-03,3,14,12,13,9,3,3,17,11,5,6,7
2022-02-19-04,3,12,11,12,8,2,3,15,9,5,6,6
2022-02-19-05,3,11,9,13,7,2,4,14,10,5,6,5
2022-02-19-06,3,11,8,14,6,1,5,14,11,5,6,5
2022-02-19-07,3,11,8,13,6,1,5,13,11,5,6,6
2022-02-19-08,3,12,8,12,5,2,4,13,12,4,6,6
2022-02-19-09,2,12,8,12,6,1,4,12,11,4,5,5
2022-02-19-10,3,12,8,11,5,1,4,12,10,4,6,4
2022-02-19-11,3,12,7,11,5,1,5,11,10,4,7,4
2022-02-19-12,2,11,6,11,4,0,5,11,10,4,6,4
2022-02-19-13,3,12,7,10,4,1,6,11,10,5,7,5
2022-02-19-14,2,13,8,9,5,2,7,11,10,5,7,6
2022-02-19-15,2,12,9,9,6,4,7,13,9,6,6,6
2022-02-19-16,3,13,10,9,6,5,7,14,9,6,5,7
2022-02-19-17,3,12,10,9,6,5,6,14,10,7,5,7
2022-02-19-18,3,11,9,10,6,5,6,13,9,7,4,6
2022-02-19-19,3,10,9,11,5,4,6,12,9,7,5,5
2022-02-19-20,3,8,8,11,5,4,6,11,8,7,5,5
2022-02-19-21,4,8,8,10,5,4,6,11,8,6,5,5
2022-02-19-22,4,8,8,10,5,4,6,11,8,5,4,5
2022-02-19-23,4,8,8,9,5,4,6,11,8,5,4,5
2022-02-20-00,4,7,8,9,4,4,5,11,7,5,4,5
2022-02-20-01,3,6,8,9,4,3,4,9,8,5,3,4
2022-02-20-02,3,5,6,8,3,2,4,8,7,5,3,3
2022-02-20-03,3,5,5,7,3,2,4,7,7,5,3,3
2022-02-20-04,3,5,4,7,2,2,4,6,7,6,3,2
2022-02-20-05,3,6,5,6,3,3,4,6,7,6,3,3
2022-02-20-06,3,6,5,6,3,3,5,6,7,7,3,3
2022-02-20-07,3,5,5,6,3,3,5,6,8,7,3,3
2022-02-20-08,4,6,5,6,3,4,6,6,8,6,4,4
2022-02-20-09,4,6,6,5,4,4,7,6,8,7,5,4
2022-02-20-10,5,7,5,5,4,4,8,7,8,7,6,4
2022-02-20-11,5,7,5,5,3,5,8,7,8,8,6,4
2022-02-20-12,5,7,5,4,3,5,8,7,8,9,6,5
2022-02-20-13,6,8,5,4,4,5,8,8,9,8,6,6
2022-02-20-14,6,8,6,4,5,5,7,8,9,8,6,6
2022-02-20-15,6,7,6,5,5,5,7,9,9,8,6,6
2022-02-20-16,6,7,7,5,5,4,7,9,10,7,6,5
2022-02-20-17,6,6,7,6,4,5,7,9,9,7,6,5
2022-02-20-18,5,6,7,6,3,5,7,9,9,6,6,5
2022-02-20-19,5,7,7,6,2,6,8,9,8,7,6,5
2022-02-20-20,5,7,7,6,2,5,8,8,8,7,6,5
2022-02-20-21,5,7,8,6,2,5,8,8,9,8,6,5
2022-02-20-22,6,8,8,5,3,4,8,7,10,8,6,6
2022-02-20-23,6,9,8,5,4,5,8,7,10,7,7,6
2022-02-21-00,5,9,9,4,4,5,8,7,10,7,7,5
2022-02-21-01,4,9,10,5,5,5,7,7,9,7,7,5
2022-02-21-02,4,8,10,5,4,5,7,7,10,7,8,4
2022-02-21-03,3,7,10,6,4,5,6,8,10,7,7,4
2022-02-21-04,3,8,9,6,4,5,6,9,10,6,6,4
2022-02-21-05,2,8,8,5,4,4,6,9,9,6,4,4
2022-02-21-06,2,8,8,5,4,4,6,8,8,6,4,4
2022-02-21-07,2,9,8,4,3,4,5,8,8,5,4,3
2022-02-21-08,2,9,9,4,3,4,5,8,8,5,3,3
2022-02-21-09,2,8,8,4,3,5,5,8,8,4,4,2
2022-02-21-10,2,8,8,4,4,6,6,8,8,5,5,2
2022-02-21-11,2,7,8,4,5,6,6,8,9,5,5,2
2022-02-21-12,1,6,8,5,6,6,7,9,9,4,5,3
2022-02-21-13,1,6,8,5,8,6,7,9,9,4,5,3
2022-02-21-14,1,6,8,5,10,6,6,10,8,4,5,5
2022-02-21-15,1,6,8,5,13,6,6,11,7,4,6,7
2022-02-21-16,2,7,9,5,14,6,7,12,8,4,7,8
2022-02-21-17,3,8,10,5,14,6,7,14,9,4,8,9
2022-02-21-18,3,9,13,6,13,7,8,15,10,4,10,9
2022-02-21-19,3,10,13,5,13,7,8,16,10,5,11,8
2022-02-21-20,3,10,14,7,14,8,9,16,10,6,11,9
2022-02-21-21,2,11,14,7,13,8,10,16,10,7,11,9
2022-02-21-22,2,11,14,8,13,8,10,17,9,8,11,8
2022-02-21-23,2,12,14,8,13,8,10,17,9,8,10,8
2022-02-22-00,2,11,13,7,13,9,10,17,8,8,10,7
2022-02-22-01,2,11,15,7,13,8,10,16,9,8,11,7
2022-02-22-02,3,10,16,6,13,8,10,16,9,8,11,6
2022-02-22-03,4,9,17,6,14,8,9,15,9,8,10,5
2022-02-22-04,4,9,18,6,13,7,9,15,9,8,10,5
2022-02-22-05,3,9,16,6,13,6,7,14,8,7,9,4
2022-02-22-06,3,9,15,6,12,5,7,13,7,7,8,3
2022-02-22-07,2,10,14,6,11,4,7,12,7,7,7,3
2022-02-22-08,2,10,13,6,11,3,7,11,7,7,6,3
2022-02-22-09,2,9,12,6,11,3,7,10,6,7,7,4
2022-02-22-10,2,9,12,5,11,4,7,10,6,6,7,5
2022-02-22-11,3,9,12,5,10,4,6,10,6,5,7,5
2022-02-22-12,3,9,12,5,10,3,7,10,7,5,7,6
2022-02-22-13,3,9,11,5,11,3,6,12,8,4,6,6
2022-02-22-14,3,9,10,6,10,2,7,12,9,4,6,6
2022-02-22-15,3,10,9,6,11,3,7,13,10,3,5,7
2022-02-22-16,3,10,9,5,10,3,7,13,10,3,6,6
2022-02-22-17,3,10,10,4,10,4,7,13,10,4,6,6
2022-02-22-18,3,10,12,5,9,5,6,14,11,4,6,6
2022-02-22-19,4,10,11,5,9,5,6,17,11,3,7,6
2022-02-22-20,4,9,12,6,9,5,7,18,11,4,7,7
2022-02-22-21,4,10,12,7,9,5,7,19,11,4,7,7
2022-02-22-22,4,9,12,7,8,6,7,20,10,4,7,7
2022-02-22-23,4,9,12,9,8,7,7,18,10,4,6,7
2022-02-23-00,4,9,12,9,8,6,6,18,10,3,6,7
2022-02-23-01,4,8,12,9,7,5,6,18,9,3,6,7
2022-02-23-02,4,8,11,9,6,4,6,18,8,3,4,6
2022-02-23-03,3,7,10,9,4,3,6,19,7,4,4,5
2022-02-23-04,3,7,9,10,4,2,6,18,7,5,4,5
2022-02-23-05,3,6,8,11,3,3,6,17,6,4,4,4
2022-02-23-06,3,5,8,11,3,3,6,16,6,4,4,5
2022-02-23-07,2,4,7,11,3,3,5,14,6,3,4,5
2022-02-23-08,2,4,7,10,2,3,4,14,6,3,3,5
2022-02-23-09,2,4,7,11,3,2,4,13,5,2,3,5
2022-02-23-10,2,4,7,10,3,2,4,11,4,2,3,5
2022-02-23-11,2,4,7,9,3,1,4,11,4,2,3,4
2022-02-23-12,2,4,6,8,3,1,4,10,4,2,2,5
2022-02-23-13,1,4,6,7,3,1,4,10,5,3,3,4
2022-02-23-14,1,4,6,6,4,1,4,9,5,4,2,4
2022-02-23-15,1,5,6,6,4,1,4,8,5,3,2,5
2022-02-23-16,1,5,6,7,4,1,4,8,6,4,3,5
2022-02-23-17,2,5,7,7,4,2,4,8,6,4,4,5
2022-02-23-18,2,6,7,7,4,2,4,8,6,4,4,5
2022-02-23-19,2,6,8,7,4,2,4,8,6,4,4,5
2022-02-23-20,2,6,8,7,4,3,5,8,6,4,4,5
2022-02-23-21,2,6,8,6,4,3,5,8,5,5,4,4
2022-02-23-22,2,6,8,6,5,2,5,9,5,5,4,4
2022-02-23-23,2,6,8,6,5,2,5,10,5,6,3,4
2022-02-24-00,2,6,8,6,4,2,5,10,5,6,3,3
2022-02-24-01,2,5,7,6,4,2,4,10,5,5,4,3
2022-02-24-02,2,5,6,6,3,2,3,9,5,5,4,3
2022-02-24-03,2,4,5,6,3,2,3,9,4,4,4,3
2022-02-24-04,2,4,5,6,3,2,3,9,4,4,4,3
2022-02-24-05,2,4,5,7,3,2,3,8,4,4,4,3
2022-02-24-06,2,4,4,7,3,3,3,8,4,4,4,3
2022-02-24-07,2,4,4,7,4,3,3,7,4,5,4,3
2022-02-24-08,3,4,5,6,4,3,3,8,4,6,4,3
2022-02-24-09,3,6,6,6,5,4,3,8,5,6,5,3
2022-02-24-10,4,7,6,6,5,5,5,8,5,6,6,3
2022-02-24-11,5,7,6,6,6,5,6,9,6,6,7,4
2022-02-24-12,5,8,6,6,7,6,6,9,8,7,9,4
2022-02-24-13,5,9,7,7,8,7,7,10,9,7,9,5
2022-02-24-14,4,10,8,7,7,7,6,10,11,7,8,5
2022-02-24-15,3,11,9,7,8,7,5,12,11,7,7,5
2022-02-24-16,3,11,11,8,8,7,6,14,11,7,8,6
2022-02-24-17,4,12,11,9,8,7,6,16,12,7,8,7
2022-02-24-18,5,12,12,10,8,6,6,16,11,7,9,7
2022-02-24-19,5,11,12,10,8,6,6,17,11,8,9,6
2022-02-24-20,5,10,11,11,8,6,5,16,11,7,9,6
2022-02-24-21,5,9,11,12,8,7,5,16,10,7,9,6
2022-02-24-22,4,8,11,13,8,7,4,16,9,6,9,6
2022-02-24-23,4,7,11,14,8,7,4,15,9,6,8,7
2022-02-25-00,3,8,11,14,9,7,4,15,8,7,8,7
2022-02-25-01,3,8,10,15,8,6,5,15,9,7,7,8
2022-02-25-02,3,8,9,16,8,4,6,15,9,7,7,7
2022-02-25-03,3,8,8,17,7,3,6,15,9,7,6,7
2022-02-25-04,3,8,8,18,7,3,5,15,8,6,7,6
2022-02-25-05,3,8,8,18,6,3,5,15,8,7,7,6
2022-02-25-06,3,8,9,18,6,4,5,15,8,7,7,6
2022-02-25-07,3,8,9,17,7,5,6,15,8,8,7,6
2022-02-25-08,3,8,9,15,8,5,6,15,9,9,7,6
2022-02-25-09,3,8,9,15,9,5,7,15,10,9,7,7
2022-02-25-10,3,10,9,14,12,5,9,15,11,9,8,7
2022-02-25-11,3,11,9,13,12,6,10,14,12,10,9,8
2022-02-25-12,3,12,10,12,13,7,11,16,14,11,10,9
2022-02-25-13,5,13,11,11,14,8,12,18,14,12,12,10
2022-02-25-14,7,14,13,10,14,9,12,20,14,11,13,11
2022-02-25-15,9,13,16,10,14,10,12,23,14,10,14,13
2022-02-25-16,10,13,18,12,15,11,11,25,13,10,15,14
2022-02-25-17,11,13,18,14,15,12,11,25,13,9,14,14
2022-02-25-18,11,13,18,17,15,11,11,24,13,10,14,14
2022-02-25-19,11,13,17,19,15,11,11,22,12,11,13,15
2022-02-25-20,12,13,17,20,15,11,11,20,12,12,13,15
2022-02-25-21,13,13,18,21,16,11,12,20,12,13,15,16
2022-02-25-22,14,14,19,21,17,13,13,20,12,13,16,17
2022-02-25-23,14,14,19,22,19,14,14,21,12,13,18,16
2022-02-26-00,13,14,19,22,20,16,16,21,12,14,21,16
2022-02-26-01,12,13,19,22,21,17,17,21,11,13,23,17
2022-02-26-02,11,13,19,22,24,18,19,22,12,15,24,17
2022-02-26-03,11,15,19,21,26,18,19,22,13,16,23,17
2022-02-26-04,10,17,22,20,29,17,19,21,14,16,22,17
2022-02-26-05,10,19,23,20,30,16,18,21,14,17,22,17
2022-02-26-06,9,21,23,19,32,16,18,20,14,16,21,16
2022-02-26-07,9,22,22,18,31,17,19,19,13,16,20,14
2022-02-26-08,8,23,21,18,29,18,19,19,15,16,20,14
2022-02-26-09,8,25,20,17,29,19,19,19,16,15,19,14
2022-02-26-10,11,27,20,17,28,19,18,18,16,16,19,14
2022-02-26-11,12,27,20,16,27,18,18,19,17,17,19,15
2022-02-26-12,13,30,20,15,26,17,19,21,19,18,20,17
2022-02-26-13,14,32,20,14,24,17,20,21,20,19,21,17
2022-02-26-14,14,33,19,14,23,17,21,23,21,20,22,18
2022-02-26-15,16,33,19,15,22,19,23,24,22,20,23,19
2022-02-26-16,17,33,19,16,21,19,23,23,22,20,23,20
2022-02-26-17,18,32,20,15,21,19,24,24,23,21,23,20
2022-02-26-18,19,33,20,15,21,20,24,23,24,21,23,21
2022-02-26-19,19,33,21,15,22,21,24,25,25,22,23,21
2022-02-26-20,20,33,22,15,23,21,25,25,25,23,23,21
2022-02-26-21,20,34,23,16,25,23,26,25,26,24,26,21
2022-02-26-22,19,35,24,16,27,25,28,25,28,26,27,22
2022-02-26-23,17,39,24,17,27,28,29,23,29,27,29,21
2022-02-27-00,16,43,24,18,25,30,30,22,32,27,30,21
2022-02-27-01,15,46,22,17,23,30,30,21,33,27,30,20
2022-02-27-02,13,49,22,18,20,29,28,20,33,24,30,18
2022-02-27-03,13,49,21,19,19,27,29,19,33,22,29,17
2022-02-27-04,12,50,22,18,20,25,29,18,32,21,28,16
2022-02-27-05,12,49,21,18,21,23,29,19,32,21,26,16
2022-02-27-06,12,46,21,18,21,22,30,18,32,21,25,16
2022-02-27-07,11,45,20,18,20,22,28,18,32,19,25,15
2022-02-27-08,12,42,20,18,19,21,27,19,31,19,24,15
2022-02-27-09,12,40,21,18,19,20,26,17,30,18,23,14
2022-02-27-10,12,38,20,17,19,19,24,17,28,17,22,13
2022-02-27-11,12,36,20,17,21,17,22,17,26,16,21,14
2022-02-27-12,13,35,17,15,21,16,22,16,25,15,20,14
2022-02-27-13,14,33,16,14,20,15,22,16,24,15,20,15
2022-02-27-14,16,31,16,12,19,15,23,17,25,16,19,16
2022-02-27-15,17,28,17,12,18,16,22,18,26,17,19,17
2022-02-27-16,18,26,18,13,18,17,21,19,27,21,18,18
2022-02-27-17,19,26,19,14,20,18,21,20,27,25,19,19
2022-02-27-18,19,27,20,16,21,18,22,22,28,25,20,20
2022-02-27-19,20,28,22,17,22,20,24,24,28,25,22,21
2022-02-27-20,22,30,23,20,23,20,27,25,27,24,23,23
2022-02-27-21,23,30,24,20,24,21,28,26,27,22,24,24
2022-02-27-22,23,30,25,21,24,22,30,27,27,24,26,24
2022-02-27-23,22,28,26,22,23,24,32,27,26,25,29,23
2022-02-28-00,20,28,26,22,23,25,34,27,27,26,32,22
2022-02-28-01,19,28,26,22,22,27,36,26,27,26,34,22
2022-02-28-02,17,28,25,23,23,28,35,25,28,24,34,21
2022-02-28-03,16,31,24,23,24,29,37,23,28,24,34,20
2022-02-28-04,16,29,23,23,24,29,37,23,27,22,34,18
2022-02-28-05,15,28,22,23,26,29,37,21,26,21,33,17
2022-02-28-06,15,27,22,22,25,29,37,20,25,21,34,15
2022-02-28-07,13,26,21,21,25,29,36,20,26,20,34,14
2022-02-28-08,12,30,21,21,25,28,35,18,32,19,33,14
2022-02-28-09,12,37,21,21,26,26,33,17,38,19,32,14
2022-02-28-10,11,45,21,21,28,25,32,16,41,20,29,15
2022-02-28-11,11,50,20,20,28,23,31,16,43,19,27,15
2022-02-28-12,11,51,19,18,28,23,31,16,42,20,26,14
2022-02-28-13,11,51,17,16,27,22,31,16,38,21,24,13
2022-02-28-14,11,45,18,14,26,20,31,16,38,20,24,13
2022-02-28-15,11,41,18,12,24,19,29,16,38,23,23,13
2022-02-28-16,11,39,18,11,25,18,29,17,38,24,20,14
2022-02-28-17,11,37,19,13,23,17,29,18,39,26,20,14
2022-02-28-18,11,41,18,14,22,15,30,20,41,30,19,15
2022-02-28-19,13,51,18,16,24,16,34,22,45,34,19,16
2022-02-28-20,14,56,22,18,26,16,34,22,51,39,21,18
2022-02-28-21,14,62,23,19,27,17,33,23,58,42,22,19
2022-02-28-22,13,67,25,20,28,18,30,24,63,40,23,20
2022-02-28-23,13,68,25,21,26,20,25,24,66,37,24,21
2022-03-01-00,13,72,23,20,23,22,24,25,61,32,25,20
2022-03-01-01,14,76,22,20,22,23,23,24,54,26,27,18
2022-03-01-02,14,78,21,21,21,24,23,25,48,26,28,17
2022-03-01-03,14,80,21,21,21,22,23,25,41,24,27,15
2022-03-01-04,14,78,21,21,22,22,22,24,38,23,26,14
2022-03-01-05,13,74,21,21,23,22,22,24,36,22,26,13
2022-03-01-06,14,71,21,21,25,22,23,24,33,21,26,12
2022-03-01-07,12,68,20,21,26,22,23,24,32,18,28,12
2022-03-01-08,11,65,19,21,25,23,25,24,29,17,28,12
2022-03-01-09,10,62,19,21,26,25,24,23,27,15,28,12
2022-03-01-10,10,55,18,20,25,27,21,22,27,15,28,12
2022-03-01-11,9,47,17,19,24,26,19,21,25,15,26,12
2022-03-01-12,9,41,16,18,25,24,16,19,23,14,24,12
2022-03-01-13,9,36,14,15,23,22,15,18,21,13,23,12
2022-03-01-14,9,32,14,13,21,19,16,18,19,12,21,11
2022-03-01-15,8,29,15,11,21,17,15,17,17,10,21,11
2022-03-01-16,8,27,15,11,20,17,14,18,17,10,20,11
2022-03-01-17,7,25,15,11,18,15,14,18,16,9,19,11
2022-03-01-18,8,25,14,12,17,14,12,17,16,10,18,12
2022-03-01-19,9,27,14,13,16,13,13,20,17,10,17,12
2022-03-01-20,9,27,15,14,15,12,12,20,17,12,16,13
2022-03-01-21,10,26,15,15,14,12,13,20,17,13,16,12
2022-03-01-22,10,27,16,15,14,11,12,20,17,13,15,12
2022-03-01-23,9,28,15,15,15,11,13,19,17,13,15,12
2022-03-02-00,9,28,15,15,19,11,13,19,17,14,16,12
2022-03-02-01,10,28,16,15,18,12,14,18,18,14,16,12
2022-03-02-02,11,28,17,15,19,12,15,18,19,16,15,12
2022-03-02-03,12,26,16,15,19,12,15,18,19,19,14,12
2022-03-02-04,14,26,15,15,17,12,16,18,21,21,13,12
2022-03-02-05,15,29,15,15,18,11,22,19,27,26,13,12
2022-03-02-06,16,37,15,15,17,12,28,19,34,30,16,13
2022-03-02-07,16,44,15,15,19,14,36,18,41,35,22,16
2022-03-02-08,16,53,15,14,24,18,42,19,50,41,26,16
2022-03-02-09,17,64,16,14,30,22,45,19,53,46,30,17
2022-03-02-10,18,63,16,13,35,23,47,18,53,46,31,19
2022-03-02-11,23,62,17,12,39,27,46,20,52,45,33,25
2022-03-02-12,27,60,21,12,41,29,46,29,52,43,36,29
2022-03-02-13,30,57,24,12,40,29,44,34,50,40,37,32
2022-03-02-14,33,57,26,15,40,32,44,38,54,41,39,32
2022-03-02-15,31,58,26,18,37,31,47,40,57,40,39,29
2022-03-02-16,29,60,25,20,35,31,50,36,58,38,38,27
2022-03-02-17,28,62,24,22,35,32,52,35,59,38,39,28
2022-03-02-18,29,63,27,22,37,34,54,35,60,40,41,30
2022-03-02-19,32,64,30,22,41,37,55,42,60,42,42,34
2022-03-02-20,37,63,35,24,44,39,56,50,58,45,46,37
2022-03-02-21,40,62,41,25,47,42,57,58,58,45,49,39
2022-03-02-22,42,61,46,26,48,43,55,65,57,43,50,41
2022-03-02-23,41,62,51,27,49,43,55,69,55,41,50,40
2022-03-03-00,40,60,53,27,49,43,53,70,53,38,48,38
2022-03-03-01,40,58,55,27,50,42,52,71,51,35,47,37
2022-03-03-02,39,56,56,27,51,43,51,73,49,33,47,37
2022-03-03-03,38,54,60,27,52,42,51,76,48,33,47,38
2022-03-03-04,38,54,61,26,54,43,50,78,46,35,48,40
2022-03-03-05,38,51,61,26,56,44,49,81,44,36,48,42
2022-03-03-06,37,48,62,26,57,44,46,81,40,37,47,44
2022-03-03-07,36,44,63,26,57,42,44,80,38,37,45,45
2022-03-03-08,36,42,64,27,57,41,42,79,37,37,44,46
2022-03-03-09,36,42,66,26,58,41,41,79,38,37,43,47
2022-03-03-10,36,46,64,27,60,44,41,79,39,36,46,50
2022-03-03-11,35,52,59,26,63,45,40,73,40,37,46,48
2022-03-03-12,33,55,52,21,62,45,-999,63,41,38,47,46
2022-03-03-13,30,56,44,18,56,43,-999,53,43,38,44,43
2022-03-03-14,28,55,39,18,50,41,41,44,43,39,42,42
2022-03-03-15,28,52,38,19,46,38,41,41,43,37,42,42
2022-03-03-16,28,52,38,19,45,38,41,42,42,36,42,44
2022-03-03-17,30,52,39,22,45,38,41,45,42,36,43,48
2022-03-03-18,33,52,40,25,47,38,40,50,43,36,44,47
2022-03-03-19,35,54,41,27,47,38,41,55,43,37,45,46
2022-03-03-20,36,56,44,30,48,39,40,58,44,38,45,44
2022-03-03-21,36,57,47,32,49,39,40,62,44,38,48,41
2022-03-03-22,33,56,50,33,50,40,42,65,43,38,50,38
2022-03-03-23,32,53,54,34,51,41,42,69,43,36,52,37
2022-03-04-00,32,51,55,36,52,41,41,72,44,37,55,36
2022-03-04-01,33,51,55,37,54,42,42,76,46,37,56,37
2022-03-04-02,34,54,54,38,56,42,41,73,47,39,56,36
2022-03-04-03,34,55,52,38,58,43,40,68,48,41,55,36
2022-03-04-04,34,57,53,37,59,45,40,63,48,41,57,34
2022-03-04-05,34,59,51,35,60,45,41,55,49,42,60,34
2022-03-04-06,33,59,50,33,61,47,43,51,48,43,63,35
2022-03-04-07,35,58,49,33,61,48,46,48,46,46,68,37
2022-03-04-08,36,57,46,33,63,48,52,45,47,47,70,40
2022-03-04-09,36,64,44,33,64,51,53,44,53,52,72,42
2022-03-04-10,39,75,40,32,64,51,56,42,63,57,69,43
2022-03-04-11,38,83,37,32,61,48,59,40,71,54,63,41
2022-03-04-12,36,85,34,27,57,46,55,37,73,55,56,39
2022-03-04-13,34,76,32,23,51,42,50,34,65,53,50,36
2022-03-04-14,29,62,29,21,45,37,45,34,53,48,46,33
2022-03-04-15,29,52,27,20,41,35,42,32,48,49,44,34
2022-03-04-16,28,45,25,19,38,33,43,31,47,47,43,35
2022-03-04-17,27,45,25,18,40,32,44,30,46,45,40,37
2022-03-04-18,27,46,26,18,40,31,43,30,48,45,38,36
2022-03-04-19,25,49,26,20,38,28,39,32,46,44,34,34
2022-03-04-20,23,52,26,22,36,25,34,34,45,42,31,32
2022-03-04-21,23,52,26,23,31,23,32,35,41,40,29,29
2022-03-04-22,21,49,27,24,30,22,30,33,38,38,28,27
2022-03-04-23,19,48,28,24,30,24,27,32,37,35,28,26
2022-03-05-00,17,46,29,25,29,25,27,31,35,32,31,24
2022-03-05-01,15,46,29,25,28,25,26,29,38,28,31,23
2022-03-05-02,15,48,28,25,27,25,24,28,39,25,30,22
2022-03-05-03,14,49,28,25,27,23,22,28,38,23,29,21
2022-03-05-04,16,48,26,24,27,20,23,26,38,22,27,20
2022-03-05-05,17,46,25,25,25,19,24,26,39,21,27,20
2022-03-05-06,16,46,25,25,25,19,25,26,41,21,28,19
2022-03-05-07,16,48,25,24,24,20,27,24,43,21,29,18
2022-03-05-08,15,50,25,24,25,21,27,24,42,20,30,18
2022-03-05-09,15,52,25,23,28,22,30,24,42,23,29,18
2022-03-05-10,16,53,25,23,29,23,32,25,42,28,29,19
2022-03-05-11,19,55,25,22,32,23,34,25,42,29,31,24
2022-03-05-12,22,54,27,20,35,24,33,28,41,31,31,28
2022-03-05-13,24,55,30,18,38,23,31,35,39,29,31,30
2022-03-05-14,26,52,32,16,38,24,30,41,37,26,30,31
2022-03-05-15,25,49,32,17,36,22,30,43,36,25,27,29
2022-03-05-16,24,48,30,19,33,22,29,42,35,24,26,28
2022-03-05-17,24,44,28,20,30,21,28,37,35,24,25,27
2022-03-05-18,25,43,26,21,30,21,28,34,32,24,26,27
2022-03-05-19,24,39,26,21,30,21,26,34,30,23,27,27
2022-03-05-20,24,36,28,21,30,21,26,37,28,23,27,28
2022-03-05-21,24,33,29,22,30,22,25,41,26,21,26,28
2022-03-05-22,23,30,30,23,30,21,24,44,23,19,25,28
2022-03-05-23,21,28,29,23,29,21,21,46,21,18,23,27
2022-03-06-00,19,26,28,23,32,21,20,46,19,15,21,27
2022-03-06-01,17,24,27,24,31,19,18,43,18,14,21,27
2022-03-06-02,17,23,26,24,30,19,17,40,16,13,21,27
2022-03-06-03,17,23,26,24,29,20,16,39,15,14,21,26
2022-03-06-04,17,20,26,23,26,20,16,38,15,15,20,25
2022-03-06-05,16,19,26,22,25,19,15,38,14,15,18,24
2022-03-06-06,15,18,27,23,24,17,14,37,15,15,16,23
2022-03-06-07,14,18,28,23,24,16,15,36,15,14,15,23
2022-03-06-08,15,23,28,22,24,16,15,36,16,13,16,23
2022-03-06-09,16,25,30,23,24,17,15,35,17,13,18,24
2022-03-06-10,18,27,30,22,26,19,16,34,17,14,21,26
2022-03-06-11,20,30,28,21,28,21,16,33,17,14,24,27
2022-03-06-12,20,29,28,20,27,20,17,32,19,16,23,27
2022-03-06-13,20,31,26,19,26,20,19,33,21,18,22,26
2022-03-06-14,19,32,25,20,25,19,21,34,25,20,22,25
2022-03-06-15,20,32,26,21,23,18,24,34,27,21,21,26
2022-03-06-16,22,32,25,23,24,19,26,36,28,22,23,27
2022-03-06-17,25,32,27,24,25,20,27,36,28,23,27,29
2022-03-06-18,28,31,28,22,26,22,28,37,27,23,29,32
2022-03-06-19,29,31,29,23,28,24,26,38,27,25,30,34
2022-03-06-20,30,30,30,24,29,25,25,37,27,25,30,34
2022-03-06-21,29,28,30,25,29,24,24,37,28,25,28,34
2022-03-06-22,27,29,29,25,27,22,23,37,28,24,26,32
2022-03-06-23,26,28,28,24,26,20,23,36,28,22,25,29
2022-03-07-00,25,27,27,24,25,20,22,37,27,21,24,28
2022-03-07-01,26,26,27,22,24,20,22,36,25,19,24,27
2022-03-07-02,26,26,28,21,24,21,22,36,25,18,24,28
2022-03-07-03,26,25,28,21,24,21,21,36,24,18,24,28
2022-03-07-04,26,24,29,21,24,21,19,35,23,19,24,30
2022-03-07-05,25,24,28,21,25,21,19,34,22,19,23,30
2022-03-07-06,21,22,27,21,23,20,16,35,19,17,21,28
2022-03-07-07,18,20,25,22,21,16,14,35,17,14,18,25
2022-03-07-08,14,19,23,21,17,14,12,31,14,11,16,19
2022-03-07-09,10,17,19,20,14,11,10,27,12,10,12,15
2022-03-07-10,9,15,15,17,12,8,9,22,10,9,10,11
2022-03-07-11,8,14,12,13,11,8,8,18,10,8,9,10
2022-03-07-12,8,14,11,10,10,7,7,18,9,7,9,9
2022-03-07-13,7,14,10,9,9,6,7,17,7,6,8,9
2022-03-07-14,5,13,10,8,8,5,6,17,6,5,7,9
2022-03-07-15,4,12,9,8,7,3,6,16,6,5,7,7
2022-03-07-16,4,10,8,7,6,3,5,14,6,5,5,6
2022-03-07-17,3,8,7,6,6,2,4,12,6,4,4,5
2022-03-07-18,2,7,6,6,5,1,3,10,5,4,3,4
2022-03-07-19,2,6,5,5,4,2,3,9,5,4,3,4
2022-03-07-20,2,7,5,4,4,2,4,8,5,4,3,3
2022-03-07-21,2,7,5,3,3,3,4,8,5,4,3,3
2022-03-07-22,2,7,5,3,4,3,5,8,5,5,4,4
2022-03-07-23,3,7,6,3,4,3,5,8,6,6,4,4
2022-03-08-00,3,7,6,3,4,3,6,8,7,7,5,4
2022-03-08-01,3,7,7,3,4,4,5,8,7,7,5,5
